CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source
1.01001E+11,5/3/2013 11:12,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,83-85 Cresthill Rd  Brighton  MA  02135,11,4,9,D14,Allston / Brighton,15,Ward 22,2211,R2,83-85 Cresthill Rd,2135,42.355988,-71.157609,Constituent Call
1.01001E+11,5/2/2013 10:04,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,169 Endicott St  Boston  MA  02113,3,1B,1,A1,Downtown / Financial District,3,Ward 3,304,A,169 Endicott St,2113,42.36571,-71.05729,Constituent Call
1.01001E+11,4/26/2013 13:14,,Open,Case Closed VIOISS: Violation Filed ,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,108 Gladstone St  East Boston  MA  02128,1,9,1,A7,East Boston,1,Ward 1,113,R3,108 Gladstone St,2128,42.38914,-71.0047,Constituent Call
1.01001E+11,4/24/2013 12:02,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,64 Newfield St  West Roxbury  MA  02132,12,6,6,E5,West Roxbury,12,Ward 20,2017,R1,64 Newfield St,2132,42.29048,-71.16706,Constituent Call
1.01001E+11,4/12/2013 8:08,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,33 Edison Grn  Dorchester  MA  02125,7,3,2,C11,Dorchester,5,Ward 7,709,R3,33 Edison Grn,2125,42.31951,-71.05852,Constituent Call
1.01001E+11,4/8/2013 12:16,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,365 Marlborough St  Boston  MA  02115,4,1C,8,D4,Back Bay,14,Ward 5,509,CM,365 Marlborough St,2115,42.35084,-71.08706,Constituent Call
1.01001E+11,3/6/2013 11:49,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,62 N Beacon St  Allston  MA  02134,11,4,9,D14,Allston / Brighton,15,Ward 21,2106,R1,62 N Beacon St,2134,42.35387,-71.14112,Constituent Call
1.01001E+11,12/10/2012 10:28,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,51 Hemenway St  Boston  MA  02115,4,10A,8,D4,Fenway / Kenmore / Audubon Circle / Longwood,14,Ward 4,407,CD,51 Hemenway St,2115,42.34518,-71.08983,Constituent Call
1.01001E+11,11/15/2012 13:56,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,134-131 Tremont St  Boston  MA  02111,3,1C,2,A1,Boston,4,3,308,RC,134-131 Tremont St,2111,42.355965,-71.062189,Constituent Call
1.01001E+11,10/31/2012 10:23,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,249 Washington St  Dorchester  MA  02121,7,3,4,C11,Dorchester,8,Ward 14,1402,R3,249 Washington St,2121,42.30132,-71.07695,Constituent Call
